,tweet,label
10,زن‌ها واقعا عجیب‌ترین موجودات دنیا هستن، وقتی بهت میگن الان نمیخوام حرف بزنم، 50 درصد احتمال داره که واقعا نخواد حرف بزنه و 90 درصد احتمالش هست که بخواد حرف بزنه. یعنی وقتی با زنی صحبت می‌کنیم، باید روی 140 درصد حساب کنیم، نه 100 درصد!,1
11,من از موقعی که pes دیگه رو کامپیوترم نصب نشد روزه نگرفتم,1
12,‏واقعا احترام به سالخورده ها از بین رفته. تو مترو یه پیرمردی وایساده بود هرچی به یه پسره گفتم پاشو بذار آقا بشینه میگفت نمیخوام چرا خودت پا نمیشی,1
13,فوت ۲۱ بیمار کووید-۱۹ در شبانه روز گذشته 💢 مبتلایان جدید: ۷۶۹۱ نفر 💢 قربانیان جدید: ۲۱ نفر 💢 کل مبتلایان: ۶۲۵۸۱۸۱ نفر 💢 کل قربانیان: ۱۳۲۲۵۱ نفر 💢 بهبودیافتگان: ۶۰۸۲۷۵۹ نفر 💢 بیماران بدحال: ۱۲۲۲ نفر,0
14,♦️فرزاد فرزین: حالم بهتر است / مردم به شایعات توجه نکنند 🔹فرزاد فرزین، خواننده پاپ کشور که این روزها در بیمارستان بستری است گفت: نسبت به چند روز گذشته حال بهتری دارم و از مردم می‌خواهم به شایعات توجه نکنند. 🔹هیچ چیزی برای من ارزشمندتر از لطف مردم نیست. امیدوارم دوباره در کنسرتی جدید و در شرایطی که حالم بهتر شده مردم را دوباره ببینم. 🔹پزشک معالج فرزاد فرزین نیز با بیان اینکه نتیجه آزمایش‌ها مسمومیت را نشان می‌دهد گفت: روز اول او به خاطر افت فشار خون از حال رفته بود. الان عفونتی دارد که با سرم‌تراپی بهتر می‎شود. بنابراین جای هیچ نگرانی نیست.,0
15,‏تو سوپری یارو اومد آبمیوه بخره فروشنده گفت اگه میخوای نی رو برعکس امتحان کنی توش نخریا دروغه اون :))),1
16,یکی واسه مریم امیرجلالی کامنت گذاشته تاس‌کباب که بادمجون نداره اینی که شما پختید ترکیب یتیمچه و تاس‌کبابه، مریم امیرجلالی جواب داده شما درست نکن:))))))))),1
17,‏کسی تا حالا وکیل پایه ۲ دادگستری دیده؟,1
18,‏جنگ جهانی بعدی بین افراد شوخ‌طبع و افرادیه که فرق شوخی و جدی رو نمی‌فهمن.,1
19,"‏تو خیابون یه پراید گرفت جلوم، طوری که عصبی شدم و رفتم کنارش و شاکی که این چه وضع رانندگیه؛ سرنشین کنار راننده شیشه رو داد پایین و یه شاخه گلی که دستش بود رو داد به من و گفت ""ببخشید"" سریع‌ترین تغییر وضعیتم از خشم به لبخند بود :) بهش میگن معجزه مهربونی!",0
20,‏ازینکه به این خانوم بگم گربه‌ات چاقه و بهش کمتر غذا بده خسته شدم، دفعه بعدی به خود گربه میگم عزیزم این گوساله‌ نمیفهمه، خودت کمتر بخور.,1
21,انقدری که حرفای بقیه درمورد چاقی یا لاغری باعث بیماری روان و جسم میشه، اضافه وزن یا کمبودش برای آدما اونقدر مشکل‌زا نبوده، آدما به هیچ وجه از چاقی یا لاغری لذت نمی‌برن اما یه مشت نگاه قضاوت‌گر مثل نگاه خیلی از مردم که برچسب تنبل بودن و بی‌اراده بودن به این آدما میزنه بدون اینکه از موقعیتشون، بیماریشون یا دلایل دیگه ای خبر داشته باشن باعث اذیت و آزارشون میشه، طوری که این قضاوت ها شاید منجربه اتفاق غیرقابل جبرانی بشه,0
22,با این قیمت بیت‌کوین ایشالا امسال قطعی برق کمتره 😂,1
23,پسرا اصلا شرایط غیبت کردنو بلد نیستن، مثلا بهشون میگی دیدی فلانی و فلانی چیکار کردن؟ که مثلا بگه واااای چیکار کردننن؟ یهو میگه ریدم تو دهن جفتشون و پشمات میریزه😶,1
24,"استاد راهنمای یکی از بچه ها بهش ایمیل زده که ""آیا به رحمت الهی رفته اید؟!"" :))) دیده بازم جواب نمیده، SMS زده بهش : ‌‌‎ آقای ستوده اگر فوت نکردید با من تماس بگیرید :)))))",1
25,‏چند سال پیش یک دادگاه در ایتالیا قرار دادن ماهی رو در تُنگ ممنوع کرد، چون تُنگ برای ماهی ایجاد توهم و دید غیرطبیعی میکنه. حمایت از حیوانات هم همینه، یعنی حمایت از همه حیوانات نه فقط سگ ها,0
26,دیدین یه خواب خیلی ناراحت‌کننده می‌بینی و وقتی بیدار میشی و میفهمی همه‌ش خواب بوده چقدر خوشحال میشی؟ از لحاظ روحی نیاز دارم بیدار شم و ببینم همه‌ش خواب بوده.,0
27,‏بابام اومد خونه گفت یالا هرکدوم یه چی بردارین بریم مسافرت گفتم ایول من چی بردارم؟ گفت تو خودتم باید بزاری بمونه,1
28,🚫 گواهینامه افراد متخلف باطل می شود 🔹 بنا بر اعلام پلیس راه، گواهینامه رانندگان پرخطر ضبط شده و علاوه بر درج نمره منفی تا ۶ ماه حق رانندگی نخواهد داشت. 👈در صورت ادامه تخلفات گواهینامه متخلف باطل و پس از گذراندن دوباره کلاس‌های راهنمایی و رانندگی گواهینامه مشروط برای متخلفان صادر می‌شود.,0
29,‏به امید برگشتن کسی نشینید، چون اگه به فرض محال هم برگرده دیگه اون آدم قبلی نیست. اگر هم برگرده، تو دیگه اون آدم سابق براش نیستی.,0
30,داور بازی مالی - تونس دقیقه ۸۵ سوت پایانو زد دقیقه ۸۶ فهمید سوتو زود زده دوباره بازیو شروع کرد دقیقه ۸۷ یه بازیکنو اخراج کرد همون دقیقه از var بهش گفتن اشتباه اخراج کردی و رفت چک کرد گفت نه باید اخراج کنم دوباره دقیقه ۸۹ سوت پایانو زد رفتن حساب کردن دیدن داور باید ۷ دقیقه وقت اضافه میگرفت که نگرفت نیمه دوم بازی ۲ تا پنالتی داشته دو بار صحنه به وار کشیده و داور چک کرده دو بازیکن مصدوم شدن یک اخراج گفتن باید بازی ادامه پیدا کنه. یک سوت زدن زود هنگام و شروع دوباره بازی.:)))),1
31,🔺️شکست در روز فرصت سوزی ها! سپاهان 0 - 1 الدحیل؛ شباب الاهلی 1 - 1فولاد,0
32,"‏لباس های مارک دار، باطن آدم رو نمی پوشونه! گاو هم پوستش چرم خالصه ""ذات آدم مهمه!""",0
33,زن عموی مامانم سرشو آورده جلو آروم با صدای لرزون میپرسه : سیگنالی؟ میگم : چی ؟ میگه : سیگنال دیگه ! همونی که مرد نداره :))))))))))))),1
34,🔻بلیت جام جهانی برای ایرانی‌ها چقدر است؟ میرانی، رئیس کمسیون گردشگری: 🔹هر فردی می‌تواند در سایت فیفا برای خود و ۶ نفر دیگر برای بلیت جام جهانی ثبت‌نام کند. قیمت بلیت‌های جام جهانی قطر هم از چهار هزار و ۵۰۰ دلار شروع می‌شود تا قیمت بالاتر که شامل هزینه بلیت، هتل و تماشای بازی می‌شود. همچنین پیش‌بینی می‌کنم با صعود ایران ۳۰۰ هزار ایرانی به قطر برود. 🔹برای سه بازی مقدماتی برای هر نفر بدون هزینه پرواز، هتل و خدمات دیگر حدود ۲۲ میلیون تومان می‌شود. اگر تور باشد و مجموع هزینه‌های بلیت تماشای بازی، پرواز، هتل و خدمات حساب شود ۵۶۰۰ دلار یا به عبارتی حدود ۱۵۰ میلیون تومان می‌شود.,0
35,به دخترم گفتم فرمون رو بشکون، گفت اگه اعصابت خورده و حوصله نداری برگردیم خونه، نمیخواد رانندگی یادم بدی,1
36,طارمی رسید، قائدی اردوی تیم ملی را ترک کرد/ تمهیدات شدید در محل اقامت شاگردان اسکوچیچ 🔹شب گذشته پس از تست نهایی بازیکنان تیم ملی، قایدی بلافاصله اردوی تیم ملی را ترک کرد و به قرنطینه رفت. 🔹مهدی طارمی شب گذشته به اردوی تیم ملی اضافه شد و او هم تست کرونا داد و راهی قرنطینه شد.,0
37,توضیح الهام عابدینی مجری صداوسیما در باره فارسی حرف زدن مهمان خارجی: 🔹کارشناس برنامه فردی هندی بوده که در ایران ساکن است و تا حدی فارسی بلد است اما برای یک گفتگوی طولانی به راحتی نمی‌تواند فارسی صحبت کند؛ ما ابتدای گفتگو هم اعلام کردیم که این کارشناس در ایران است.,1
38,بابام سه چهار سال دیگه جومونگو نگاه کنه، بازنشسته‌ی دربار گوگوریو می‌شه.,1
39,🔻 برنامه دیدارهای تیم ملی ایران والیبال در رقابت‌های جام واگنر لهستان پنج‌شنبه ۲۷ مرداد ساعت ۲۰:۰۰ آرژانتین – صربستان ساعت ۲۲:۳۰ ایران – لهستان جمعه ۲۸ مرداد ساعت ۲۰:۰۰ ایران – صربستان ساعت ۲۲:۳۰ لهستان – آرژانتین شنبه ۲۹ مرداد ساعت ۲۰:۰۰ ایران – آرژانتین ساعت ۲۲:۳۰ لهستان – صربستان,0
40,‏رفتم ساز بخرم، تو مغازه یه پسر بچه‌ای رو دیدم که چشمش یه سنتور رو گرفته بود ولی پدر مادرش پول نداشتن تا براش بخرن، خیلی دلم سوخت:) به فروشنده یواشکی اشاره کردم که سنتور رو بهشون بده من پولش رو حساب میکنم، خلاصه سنتور رو داد و اونا رفتن، وقتی رفتن منم مثل سگ دویدم فرار کردم😔💔,1
41,اگر میدونستید 90درصد آدمای دورتون از خوشحالی و موفقیتتون، خوشحال نمیشن هیچوقت چیزی که قطعی نشده رو به هیچکس نمیگفتید!!!,0
42,فوت ۴ بیمار کووید-۱۹ در شبانه روز گذشته 🔹 مبتلایان جدید: ۱۳۶ نفر 🔹 قربانیان جدید: ۴ نفر 🔹 کل مبتلایان: ۷۲۳۶۰۶۴ نفر 🔹 کل قربانیان: ۱۴۱۳۸۳ نفر 🔹 بهبودیافتگان: ۷۰۶۱۵۱۶ نفر 🔹 بیماران بدحال: ۲۲۱ نفر,0
43,تردد موتور و خودروهای دودزا در تهران تا سه شنبه ممنوع است 🔺 معاون هماهنگی امور عمرانی استاندار تهران در یازدهمین جلسه کار گروه هماهنگی اضطرار آلودگی هوا با اشاره به گزارش اداره هواشناسی استان مبنی بر استمرار پایداری هوا و انباشت آلاینده‌ها تا پایان روز سه شنبه ۲۱ دی ماه اظهار داشت: مقرر شد پایگاه‌های سیار فوریت‌های پزشکی اورژانس و هلال احمر در مناطق پر تردد شهر جانمایی شوند و پلیس راهور تهران بزرگ نسبت به جلوگیری از تردد موتورسیکلت‌ها و خودروهای دودزا و فاقد معاینه فنی و همچنین وسایل نقلیه دودزای دارای معاینه فنی اقدامات لازم را به عمل آورد. 🔺 با همکاری فرمانداری تهران و اتحادیه کامیون داران شهر تهران، پلیس راهور از تردد شبانه کامیون‌ها به استثنای کامیون‌های حامل سوخت و مواد غذایی و مواد فاسدشدنی طی شب دوشنبه هفته جاری جلوگیری نمایند.,0
44,نتایج جدید محققان؛ نگران لخته خون ناشی از تزریق واکسن آسترازنکا نباشید ▫️نتایج جدیدترین تحقیقات نشان می‌دهد که خطرات لخته‌های خون ناشی از تزریق واکسن آسترازنکا بسیار ناچیز و داده‌های این تحقیق حاصل بررسی میلیون‌ها نفر دریافت‌کننده این واکسن کووید-۱۹ در سراسر جهان است. ▫️یافته‌ها حاکی از افزایش کمی خطر رویدادهای لخته شدن خون پس از واکسیناسیون با آسترازنکا است که معادل یک رویداد به ازای هر ۴ میلیون نفر واکسینه شده است.,0
45,‏استرالیا ۴ میلیون دلار تجهیزات نظامی غیر کشنده فرستاده اکراین، غیر کشنده چیه؟ مثلا ۴۰۰۰ تا پس‌گردنی و ۲۴۰۰ تا کف گرگی؟ میگن ۳۰۰۰ تا «بی محلی» گذاشته کنار برای وقتی که کار بالا گرفت و احتیاج به سلاح کشنده بود.,1
46,منشی تراپیستم زنگ زدگفت چرا نیومدی گفتم فراموش کردم، گفت چرا گفتم چون اصلا به خاطر همین مشکل فراموشکاریم میخواستم بیام اونجا. گفت خب آلارم بذار گفتم میخوام بذارم ولی فراموش میکنم، گفت خب همین الان که یادته بذار گفتم چی بذارم؟ گفت آلارم. گفتم برای چی؟ گفت هیچی خدافظ. دیوانه ن مردم,1
47,روسیه: ادعای حمله به اوکراین بی اساس است 🔹آناتولی آنتونوف سفیر روسیه در آمریکا در پی ادعاهای مقامات آمریکایی مبنی بر امکان حمله روسیه به اوکراین حین بازهای المپیک، این ادعاها را بی اساس و بدون ارائه هیچ گونه مدرکی دانست.,0
48,"تو فیلم Match Point ساخته‌ی وودی آلن یه دیالوگ قشنگی هست. میگه: مهم نیست قوی یا پیروز باشی مهم اینه خوش‌شانس باشی. من با همه وجود این جمله رو قبول دارم. برای رسیدن به خوشبختی، ""شانس"" از هر فاکتور دیگه‌ای مهم‌تره.",0
49,‏بچه‌ها من فقط یک نصیحت بهتون می‌کنم؛ تو زندگی هرکاری خواستید بکنید، با هرکی خواستید بگردید، مست کنید، عاشق شید فقط یکم سرکه قاطی مایع ظرفشوییتون کنید. بوی زهم و چربی رو میگیره.,1
50,🔴جام والیبال باشگاه های آسیا/مقاومت شهداب یزد سوم شد 🔹️ در دیدار رده بندی جام والیبال باشگاه های آسیا تیم والیبال مقاومت شهداب یزد موفق شد در سه ست پیاپی و با نتایج ۲۵ بر ۲۰، ۲۵ بر ۱۵ و ۲۵ بر ۲۲ تاراز قزاقستان را مغلوب کند و در جایگاه سوم این مسابقات قرار گیرد. 🔹️ دیدار فینال این مسابقات بین تیم های والیبال پیکان و سانتوری ژاپن برگزار می شود.,0
51,این «فرشته عذاب» هم داستان عجیبیه، اگه فرشته ای واسه چی عذاب میدی!؟ اگه عذاب میدی اسمت چرا فرشته‌س؟,1
52,‏بخدا من بی معرفت نیستم، فقط بی حوصله ام، یعنی ممکنه شما صمیمی ترین و عزیز ترین رفیقم باشین ولی تا چند ماه حال جواب دادن یا سراغ گرفتن ازتون رو نداشته باشم بدون اینکه ذره ای از دوست داشتنم کم بشه.,0
53,‏آره مهاجرت خوبه ولی قشنگترش این بود که همینجا کنار خانواده و دوستامون به خواسته‌هایی که داشتیم برسیم :(,0
54,‏احساس میکنم این روزا خیلی از مردم تو تعطیلات و مسافرت بیشتر از اینکه به فکر گذروندن اوقات خوش باشن، در تلاشن که بقیه تو شبکه های اجتماعی فکر کنن که به اینا خیلی خوش گذشته.,0
55,‏اگر تو خیابون تند میرید، لایی میکشید و فکر میکنید خیلی رانندگیتون خوبه اینو بدونید تمام سلامتتون رو مدیون راننده‌های دیگه‌ای هستید که مواظبن به شما نزنن. مهارتتون هیچ گهی نیست اگر ده‌ها آدم دیگه مراعات گاو بودن شما رو نکنن,0
56,‏استقلال نیاز به یه تعویض فنی داره باید حامد لک رو بیاره تو,1
57,این نارنجک‌انداز یکبار مصرف که سوئد به اوکراین داده رو بدی به مامان‌بزرگ من، تا شش بار حداقل ازش استفاده میکنه,1
58,‏گره‌زدن سبزه‌ی سیزده هفت گره است که شعراش اینه: اول: سبزی تو از من، زردی من از تو دوم: سبزه‌ و سبزه‌بختی، یه شوور دس به نقدی سوم: سیزده به در، سال دگر، خونه‌ی شوور، بچه بغل چهارم: دردم دوا، کامم روا، هووم طلاق، دستش چلاق ‏پنجم: (یه آرزوی شخصی توی دل) خضر نبی رسیده، باد صبا دمیده، اسب مراد سوار شَم، خوشی باشه با یارم. ششم: (نفرین هر کی هر چی) سال دگر، بختم به بَر، هَووم (یا فلانی) در به در هفتم (یه آرزو با صدای بلند که معمولا شبیه «برای همه خوشی باشه» است): ای سبزه به حق شاه مردان، حاجت روا گردان,0
59,‏من یک ماشین هستم. یک ربات سرگشته. هر روز باید روشن بشه، یک سری کارهای از پیش تعیین شده و تکراری انجام بده، سوخت دریافت کنه، دلتنگ بشه، با هیولای بحران وجود و خستگی روحی و فیزیکی و اضطراب بجنگه، برگرده خونه، و خاموش بشه. روشن، خاموش، روشن، خاموش، ... برای چی؟ برای پول. برای رسیدن.,0
60,‏به خدا این خرجایی که شما واسه گربه های پدرسگتون میکنید من واسه ماشینمم نمیکنم. چون ماشین ندارم.,1
61,‏قسمت سخت اجاره نشینی اینکه چه جوری به خانمت بگی صاحب خونه گفته بلند شید,0
62,‏مشهدیا دعوا رو میوفتن؟ خداروشکر شمالیا اونور هستن که بگیرنشون,1
63,‏خوبی پسرا اینه همه‌چی دوس دارن. دختر لوس، دختر نالوس، دختر قد کوتاه، دختر قد بلند، بلوند، مشکی، سفید، سبزه، اسکینی، توپر و... ینی نه اینکه هرکدوم اینا طرفدار خودشو داشته باشه ها، ینفر ممکنه همه اینا رو دوس داشته باشه.,1
64,واقعا حوصله ندارم. حوصله جنگ رو ندارم. حوصله کل کل دختر و پسرا و فمنیستا و آنتی فمنیستارو ندارم. حوصله ندارم ببینم طرفدارای تیمای xوy دارن به هم فحاشی میکنن. حوصله این آدمای بی معرفت و منفعت طلب رو ندارم. حوصله خودم و این مودی بودن و افسردگی قدیمیم رو ندارم. حوصله هیچی رو ندارم. کاش میشد همه جمع بشیم یه جایی، موزیک گوش بدیم، همدیگه رو بغل کنیم، گریه کنیم تو بغل هم، همدیگه رو آروم کنیم و تهش دوباره برگردیم سر زندگیامون. خستم جانم...,0
65,‏بری فروشگاه چند کیلو بغل بخری، بیای بشینی خونه، منت اینو اونو نکشی !!,0
66,‏برای راحت ترک کردن سیگار ب خودتون هدیه بدین،مثلا من هر نیم ساعتی ک نکشم یه نخ سیگار ب خودم هدیه میدم,1
67,"‏رایانه‌ها موقع تحویل سال دعای ""یَا مُقَلِّبَ الْقُلُوبِ سخت افزار"" رو می‌خونن.",1
68,‏من سر جلسه امتحان: وای خدا این سوال رو تو جزوه دیدم باید یادم بیاد. مغزم همون لحظه: یه آسه، یه شاهه، یه سرباز، قمار بازه قمار بازه قمار باز,1
69,مامانم یه دراما کویین واقعیه صدام زده میگه بیا میوه بخور بهش گفتم نمیخورم و در جواب بهم چی بگه خوبه؟ یروز میمیرم دلت تنگ میشه واسه وقتایی که به فکرت بودم اونوقت هیشکی نیست باهاش میوه بخوری قدرمو اون موقع میدونی من دوست دارم که بهت میگم ولی تو حرف منو گوش نمیدی=)))))) زن تورو به خدا یه میوه این حرفارو نداره که=)=)=)=)=)))),1
70,یبار با یکی از دوستام یجا برای سفر به مشهد ثبت‌نام کردیم. اسم من در اومد و اسم اون نه! بخاطرش مشهدمو کنسل کردم :)))))))) بعد زنگ زدن به دوستم و گفتن یه کنسلی داریم و شما میتونی جاش بیای :))))))))) و دوستم بدون من رفت :))))))))),0
71,‏خواهش می‌کنم به ما کودکای دیروز هم عیدی بدید ماها گناه داریم واقعا سخته خفت کردن بچه‌های فامیل و کش رفتن عیدیشون.,1
72,الان دیگه تخم‌مرغ دزد شتر دزد نمیشه، میتونه تخم‌مرغارو بفروشه چنتا شتر آخرین مدل توربوشارژ بگیره,0
73,وضعیت طوریه که بیشتر انرژیمون صرف بدبخت تر نشدن میشه تا خوشبخت تر شدن !,0
74,نمیدونم چرا اینجوریه که دخترای قد بلند واقعا مودب و بی حاشین ولی امان از این دخترای قد کوتاه ، افکار شیطانی از تو چشماشون مشخصه :)))))),0
75,دختره نوشته، دختری که عاشق میشه خیلی بی دفاع میشه ، مَرد باشید و اذیتش نکنید. انگار وقتی پسرا عاشق میشن میرن پیکه و راموس رو میخرن میزارن خط دفاعی تا ازشون دفاع کنه:)))),1
76,جلوی کولر گازی نوشته بود دارای برد اینورتر. رفتم تو مغازه پرسیدم بردشون کدوم ورتره؟ نمیدونم چرا با بردی که اونورتر بود افتاد دنبالم,1
77,دیشب به مهمونامون گفتم : توروخودا بازم بیایین خونمون که ما هم یه شام درست حسابی بخوریم بعد رفتنشون مامانم دستام و از پشت گرفته بود بابام با مشت میزد تو شیکمم,1
78,"موسوی: هیئت رئیسه درباره طرح ""صیانت"" اعلام نظر می‌کند سخنگوی هیئت رئیسه مجلس: 🔹هیئت رئیسه در جلسه ای ایرادات معاونت قوانین مجلس به طرح حمایت از حقوق کاربران در فضای مجازی را بررسی خواهد کرد و نسبت به درستی یا نادرستی آن نظرش را اعلام می کند.",0
79,کرونا تا ۱۰ سال آینده با ماست! اوغور شاهین آلمانی تُرک‌تبارِ کاشف واکسن کرونا: تا ۱۰ سال آینده ‎کرونا با ما خواهد بود، باید به این زندگی عادت کنیم.,0
80,‏عید که میشه این آرایشگرا از بس چشمشون به عیدی گرفتنه که تصمیم گرفتم سلمونی نرم با سروش هیچکس بد باشم فقط.,1
81,‏آدما هر چی ضربه تو زندگی میخورن از فک فامیل و دوست و آشنا بوده...غریبه آخه چه میدونه زخم زندگیمون کجاست که بخواد نمک بپاشه روش,0
82,‏شرایط عروسی ها یجوری شده داماد باید از مهمونا تیپشون رو بپرسه که مثل اونا تیپ نزنه یوقت امروز به ده نفر تبریک گفتم هیچکدوم داماد نبودن 😂,1
83,حالا یه جوری از اینکه طالبان ماه رمضون رو ۲ ماه اعلام کرده تعجب می‌کنید، که انگار نه انگار خودتون بلک فرایدی رو تا یه ماه بعدش هی تمدید می‌کردید.,1
84,نصر‌الله مدقالچی، دوبلور با سابقه در مصاحبه‌ای با اشاره به سانسور‌های فراوان در صدا و سیما به برخی از این موارد اشاره کرد و گفت واژه تکامل «یکی از خط قرمز‌های ما است و نباید در دیالوگ کاراکترها وجود داشته باشد چراکه یادآور نظریه داروین است».😐,0
85,‏من به این رسیدم که آدما تغییر نمیکنن همونن منتها شناخت ما بهشون بیشتر میشه یا خود واقعیشونو نشون میدن,0
86,‏اگه هیچ جمله ای برای توصیف حستون نسبت به کراشتون پیدا نمیکنید استاد شمس لنگرودی کمکتون کرده ، برید بهش بگید ؛ دوستت دارم و مخفی کردن آسمان پشت میله های قفس کار آسانی‌ نیست .,0
87,فست شارژ فقط وقتی که بعد از ۱۴/۱۵ ساعت گشنه موندن ۵ دقیقه‌ای سیر میشی,1
88,🔴کمیسیون تلفیق با خرید سربازی برای سربازان غایب موافقت کرد 🔸️رحیم زارع، سخنگوی کمیسیون تلفیق بودجه ۱۴۰۱ مجلس: 🔹️کمیسیون تلفیق با خرید سربازی برای سربازان غایب موافقت کرد. 🔹️مصوبه خرید سربازی، مشمولان غایب بیش از ۵ سال را با اولویت متأهلان و افراد بالاتر از ۳۵ سال سن که انجام وظایف سربازی برای آنها امکان‌پذیر نیست، تعیین تکلیف می کند. 🔹️افراد می توانند با پرداخت مبالغ مشخص شده به حساب خزانه کشور، کارت معافیت از خدمت در زمان صلح را دریافت کنند. 🔸️مبالغ پرداختی برای خرید خدمت سربازی به شرح زیر است: 🔹️دارندگان مدرک تحصیلی کاردانی و کم تر از آن ۲۵۰ میلیون تومان 🔹️دارندگان مدرک تحصیلی کارشناسی و کارشناسی ارشد ۴۰۰ میلیون تومان 🔹️دارندگان مدرک پزشکی عمومی و دکترای تخصصی و بالاتر از آن در تمامی رشته ها ۶۰۰ میلیون تومان 🔹️مشمولان متأهل به ازای هر فرزند از ۲۰ درصد تخفیف تا ۶۰ درصد برخوردار خواهند بود و افراد متاهل تحت پوشش کمیته امداد حضرت امام خمینی (ره) و سازمان بهزیستی از تخفیف ۵۰ درصدی برخوردار شدند.,0
89,زندگی خیلی عجیبه یهو به خودت میای میبینی با اون پسره که بوی سیگارش اذیتت می‌کرد داری در مورد اسم دخترتون چی باشه بحث می‌کنی,0
90,‏گربه داشتن هم سختیای خودشو داره‌ها. تو هرروز باید به یه موجود دیوثِ زبون نفهمِ موذیِ چندش حالی کنی که هوی قورومساق، من صاحب تو هستم نه تو صاحب من، و در عین حال به اطرافیانی که از پشت صحنه خبر ندارن نشون بدی که ببینید ما چقدر باهم خوبیم!!!,1
91,‏چرا چسب یک دو سه داریم ولی چسب همه بیخیال غصه، شما دختر خانوم دستتو بذار تو دست دوستت آقا پسر دختره چه لوسه نداریم؟,1
92,ممنوعیت انجام هرگونه معاملات فردایی ارز، سکه و طلا پلیس امنیت اقتصادی: 🔹انجام هرگونه معاملات فردایی ارز، سکه و طلا برابر قانون ممنوع است. 🔹فقط معاملاتی مجاز و قانونی است که در واحدهای صنفی قانونی و رسمی و با رعایت قوانین و مقررات پولشویی و مالیاتی انجام شود. 🔹هر فرد خریدار سکه و طلا باید از حساب خود به حساب متعلق به واحد صنفی مجاز واریز وجه کند.,0
93,📡کاخ سفید، چین را تهدید کرد 🔹سخنگوی کاخ سفید گفت که اگر پکن به تحریم‌های آمریکا علیه روسیه پایبند نباشد ، آمریکا دست به اقداماتی علیه چین خواهد زد.,0
94,‏سه ساعت نشستم پای تلویزیون مسابقه حسن یزدانی شروع شه مردی تو ۳ دقیقه برد بازی رو مسخرتیم حسن جان ؟,1
95,فکر کن مثلا تو جهنم یزید و هیتلر و چنگیز مغول و صدام و اینا نشستن بعد یهو تو می‌ری تو، می‌گن حالا شما چرا اینجایی؟ چجوری روت می‌شه بگی چون نکته‌ی فلان‌ عکسو فهمیدم؟,1
96,‏از بیرون نمایشگاه اکسپوی 2022 اماراتم، از تو خرابه‌های 1945 ژاپن بعد از حمله اتمی آمریکا,0
